plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
111,6,8,5,4,VRA
112,6,8,5,3,VRA
113,6,8,5,3,VRA
114,6,8,5,3,VRA
115,6,8,5,3,VRA
116,5,9,5,3,VRA
117,5,9,5,3,VRA
118,5,9,5,3,VRA
119,5,9,5,3,VRA
120,5,9,5,4,VRA
121,5,9,5,4,VRA
122,5,9,5,4,VRA
123,5,9,5,4,VRA
124,5,9,5,4,VRA
125,5,9,5,4,VRA
126,6,8,5,3,VRA
127,6,8,5,2,VRA
128,6,8,5,2,VRA
129,6,8,5,2,VRA
130,6,8,5,2,VRA
131,6,8,5,2,VRA
132,6,8,5,3,VRA
133,6,8,5,3,VRA
134,6,8,5,3,VRA
135,6,8,5,3,VRA
136,6,8,5,3,VRA
137,6,8,5,3,VRA
138,6,8,5,3,VRA
139,6,8,5,3,VRA
140,5,9,5,3,VRA
141,5,9,5,3,VRA
142,5,9,5,3,VRA
143,5,9,5,3,VRA
144,5,9,5,3,VRA
145,5,9,5,4,VRA
146,5,9,5,4,VRA
147,5,9,5,4,VRA
148,5,9,5,4,VRA
149,5,9,5,4,VRA
150,6,8,5,3,VRA
151,6,8,5,3,VRA
152,6,8,5,2,VRA
153,6,8,5,2,VRA
154,6,8,5,3,VRA
155,6,8,5,3,VRA
156,6,8,5,2,VRA
157,6,8,5,2,VRA
158,6,8,5,2,VRA
159,6,8,5,3,VRA
160,6,8,5,3,VRA
161,6,8,5,2,VRA
162,6,8,5,2,VRA
163,6,8,5,2,VRA
164,6,8,5,2,VRA
165,6,8,5,2,VRA
166,6,8,5,2,VRA
167,6,8,5,2,VRA
168,6,8,5,2,VRA
169,5,9,5,2,VRA
170,5,9,5,2,VRA
171,6,8,5,1,VRA
172,6,8,5,1,VRA
173,6,8,5,1,VRA
174,6,8,5,1,VRA
175,6,8,5,1,VRA
176,6,8,5,1,VRA
177,6,8,5,1,VRA
178,5,9,5,2,VRA
179,5,9,5,2,VRA
180,5,9,5,2,VRA
181,5,9,5,2,VRA
182,5,9,5,2,VRA
183,5,9,5,1,VRA
184,5,9,5,1,VRA
185,5,9,5,1,VRA
186,5,9,5,1,VRA
187,5,9,5,2,VRA
188,5,9,5,2,VRA
189,5,9,5,2,VRA
190,5,9,5,2,VRA
191,5,9,5,2,VRA
192,5,9,5,2,VRA
193,6,8,5,2,VRA
194,6,8,5,2,VRA
195,6,8,5,2,VRA
196,6,8,5,2,VRA
197,6,8,5,2,VRA
198,6,8,5,2,VRA
199,5,9,5,2,VRA
200,5,9,5,2,VRA
201,5,9,5,2,VRA
202,5,9,5,2,VRA
203,5,9,5,2,VRA
204,5,9,5,2,VRA
205,5,9,5,2,VRA
206,5,9,5,2,VRA
207,5,9,5,2,VRA
208,5,9,5,2,VRA
209,5,9,5,2,VRA
210,5,9,5,2,VRA
211,5,9,5,2,VRA
212,5,9,5,2,VRA
213,5,9,5,2,VRA
214,5,9,5,2,VRA
215,5,9,5,2,VRA
216,5,9,5,2,VRA
217,5,9,5,2,VRA
218,5,9,5,2,VRA
219,5,9,5,2,VRA
220,5,9,5,2,VRA
221,5,9,5,1,VRA
222,5,9,5,1,VRA
223,5,9,5,1,VRA
224,5,9,5,1,VRA
225,5,9,5,1,VRA
226,5,9,5,1,VRA
227,5,9,5,1,VRA
228,5,9,5,1,VRA
229,5,9,5,1,VRA
230,5,9,5,1,VRA
231,5,9,5,1,VRA
232,5,9,5,1,VRA
233,5,9,5,1,VRA
234,5,9,5,2,VRA
235,5,9,5,2,VRA
236,5,9,5,2,VRA
237,5,9,5,2,VRA
238,5,9,5,2,VRA
239,5,9,5,2,VRA
240,5,9,5,1,VRA
241,5,9,5,1,VRA
242,5,9,5,1,VRA
243,5,9,5,1,VRA
244,5,9,5,1,VRA
245,5,9,5,1,VRA
246,5,9,5,1,VRA
247,5,9,5,1,VRA
248,5,9,5,1,VRA
249,5,9,5,1,VRA
250,6,8,5,1,VRA
251,6,8,5,1,VRA
252,6,8,5,1,VRA
253,6,8,5,1,VRA
254,6,8,5,1,VRA
255,6,8,5,1,VRA
256,6,8,5,1,VRA
257,6,8,5,1,VRA
258,6,8,5,1,VRA
259,6,8,5,1,VRA
260,6,8,5,1,VRA
261,6,8,5,1,VRA
262,6,8,5,1,VRA
263,7,7,5,1,VRA
264,7,7,5,1,VRA
265,7,7,5,1,VRA
266,7,7,5,1,VRA
267,7,7,5,1,VRA
268,6,8,5,1,VRA
269,6,8,5,1,VRA
270,6,8,5,1,VRA
271,6,8,5,1,VRA
272,6,8,5,1,VRA
273,6,8,5,1,VRA
274,6,8,5,1,VRA
275,6,8,5,1,VRA
276,6,8,5,1,VRA
277,6,8,5,1,VRA
278,6,8,5,1,VRA
279,6,8,5,1,VRA
280,6,8,5,2,VRA
281,6,8,5,2,VRA
282,6,8,5,2,VRA
283,6,8,5,2,VRA
284,6,8,5,1,VRA
285,6,8,5,1,VRA
286,6,8,5,1,VRA
287,6,8,5,1,VRA
288,6,8,5,1,VRA
289,6,8,5,1,VRA
290,6,8,5,1,VRA
291,6,8,5,1,VRA
292,6,8,5,1,VRA
293,6,8,5,1,VRA
294,5,9,5,1,VRA
295,6,8,5,1,VRA
296,6,8,5,1,VRA
297,6,8,5,1,VRA
298,6,8,5,1,VRA
299,7,7,6,1,VRA
300,6,8,5,1,VRA
301,6,8,5,1,VRA
302,6,8,5,1,VRA
303,6,8,5,1,VRA
304,6,8,5,1,VRA
305,6,8,5,1,VRA
306,6,8,5,1,VRA
307,6,8,5,1,VRA
308,6,8,5,1,VRA
309,6,8,5,1,VRA
310,6,8,5,1,VRA
311,6,8,5,1,VRA
312,6,8,5,1,VRA
313,6,8,5,1,VRA
314,7,7,5,1,VRA
315,7,7,5,1,VRA
316,7,7,5,1,VRA
317,7,7,5,1,VRA
318,7,7,5,1,VRA
