plan_id,black_pct,latino_pct
52,"0     0.265985
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.271342
6     0.587860
7     0.310124
8     0.267824
9     0.121421
10    0.106112
11    0.379917
12    0.559712
13    0.073597
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045263
6     0.066837
7     0.053961
8     0.118362
9     0.060287
10    0.077635
11    0.039450
12    0.056320
13    0.070917
dtype: float64"
53,"0     0.265985
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.284351
6     0.587860
7     0.310124
8     0.267824
9     0.121421
10    0.106112
11    0.379917
12    0.593734
13    0.073597
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045305
6     0.066837
7     0.053961
8     0.118362
9     0.060287
10    0.077635
11    0.039450
12    0.058171
13    0.070917
dtype: float64"
54,"0     0.264790
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.284351
6     0.587860
7     0.310124
8     0.267824
9     0.121421
10    0.106112
11    0.376774
12    0.593734
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045305
6     0.066837
7     0.053961
8     0.118362
9     0.060287
10    0.077635
11    0.039530
12    0.058171
13    0.070917
dtype: float64"
55,"0     0.264790
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.284351
6     0.587860
7     0.310124
8     0.547756
9     0.121421
10    0.106112
11    0.376774
12    0.309845
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045305
6     0.066837
7     0.053961
8     0.063532
9     0.060287
10    0.077635
11    0.039530
12    0.113709
13    0.070917
dtype: float64"
56,"0     0.264790
1     0.474329
2     0.599830
3     0.524990
4     0.321723
5     0.284351
6     0.181828
7     0.310124
8     0.547756
9     0.121421
10    0.106112
11    0.376774
12    0.309845
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.070726
3     0.078653
4     0.064117
5     0.045305
6     0.071480
7     0.053961
8     0.063532
9     0.060287
10    0.077635
11    0.039530
12    0.113709
13    0.070917
dtype: float64"
57,"0     0.264790
1     0.474329
2     0.617220
3     0.511166
4     0.321723
5     0.284351
6     0.181828
7     0.310124
8     0.547756
9     0.121421
10    0.106112
11    0.376774
12    0.309845
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.072189
3     0.076927
4     0.064117
5     0.045305
6     0.071480
7     0.053961
8     0.063532
9     0.060287
10    0.077635
11    0.039530
12    0.113709
13    0.070917
dtype: float64"
58,"0     0.264790
1     0.474329
2     0.617220
3     0.565500
4     0.321723
5     0.284351
6     0.181828
7     0.310124
8     0.547756
9     0.121421
10    0.106112
11    0.376774
12    0.250996
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.072189
3     0.069134
4     0.064117
5     0.045305
6     0.071480
7     0.053961
8     0.063532
9     0.060287
10    0.077635
11    0.039530
12    0.122135
13    0.070917
dtype: float64"
59,"0     0.264790
1     0.474329
2     0.617220
3     0.565500
4     0.321723
5     0.465594
6     0.181828
7     0.310124
8     0.349251
9     0.121421
10    0.106112
11    0.376774
12    0.250996
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.072189
3     0.069134
4     0.064117
5     0.055823
6     0.071480
7     0.053961
8     0.051657
9     0.060287
10    0.077635
11    0.039530
12    0.122135
13    0.070917
dtype: float64"
60,"0     0.264790
1     0.474329
2     0.617220
3     0.565500
4     0.321723
5     0.465594
6     0.209853
7     0.310124
8     0.349251
9     0.121421
10    0.065450
11    0.376774
12    0.250996
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.072189
3     0.069134
4     0.064117
5     0.055823
6     0.070171
7     0.053961
8     0.051657
9     0.060287
10    0.079816
11    0.039530
12    0.122135
13    0.070917
dtype: float64"
61,"0     0.264790
1     0.474329
2     0.617220
3     0.565500
4     0.321723
5     0.247647
6     0.209853
7     0.310124
8     0.574769
9     0.121421
10    0.065450
11    0.376774
12    0.250996
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.072189
3     0.069134
4     0.064117
5     0.041354
6     0.070171
7     0.053961
8     0.066924
9     0.060287
10    0.079816
11    0.039530
12    0.122135
13    0.070917
dtype: float64"
62,"0     0.264790
1     0.474329
2     0.617220
3     0.565500
4     0.321723
5     0.247647
6     0.209853
7     0.310124
8     0.574769
9     0.230987
10    0.065450
11    0.376774
12    0.123247
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.072189
3     0.069134
4     0.064117
5     0.041354
6     0.070171
7     0.053961
8     0.066924
9     0.130510
10    0.079816
11    0.039530
12    0.040385
13    0.070917
dtype: float64"
63,"0     0.264790
1     0.474329
2     0.451345
3     0.565500
4     0.321723
5     0.402386
6     0.209853
7     0.310124
8     0.574769
9     0.230987
10    0.065450
11    0.376774
12    0.123247
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.070944
3     0.069134
4     0.064117
5     0.041960
6     0.070171
7     0.053961
8     0.066924
9     0.130510
10    0.079816
11    0.039530
12    0.040385
13    0.070917
dtype: float64"
64,"0     0.264790
1     0.474329
2     0.451345
3     0.569989
4     0.321723
5     0.402386
6     0.209853
7     0.310124
8     0.574769
9     0.225251
10    0.065450
11    0.376774
12    0.123247
13    0.073597
dtype: float64","0     0.048974
1     0.037958
2     0.070944
3     0.051838
4     0.064117
5     0.041960
6     0.070171
7     0.053961
8     0.066924
9     0.147104
10    0.079816
11    0.039530
12    0.040385
13    0.070917
dtype: float64"
