plan_id,black_scores,latino_scores
25,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.8935867440697856, 11: 0.7188506342009905, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.15361606224667798, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.10046860834053875, 11: 0.1114829455054105, 12: 0, 13: 0.1641311041833907, 14: 0}"
26,"{1: 0, 2: 0.98173269323605, 3: 1, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.8935867440697856, 11: 0.7188506342009905, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0.1540502421470401, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.10046860834053875, 11: 0.1114829455054105, 12: 0, 13: 0.1641311041833907, 14: 0}"
27,"{1: 0, 2: 0.98173269323605, 3: 0.8055254317741294, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.8935867440697856, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0.13191187709685545, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.10046860834053875, 11: 0.13558534668016253, 12: 0, 13: 0.1641311041833907, 14: 0}"
28,"{1: 0, 2: 0.98173269323605, 3: 0.8055254317741294, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.8935867440697856, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0.13191187709685545, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.10046860834053875, 11: 0.13558534668016253, 12: 0, 13: 0.1641311041833907, 14: 0}"
29,"{1: 0, 2: 0.98173269323605, 3: 0.8055254317741294, 4: 0, 5: 0.9825865619753491, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0.13191187709685545, 4: 0, 5: 0.0959280925599364, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.13558534668016253, 12: 0, 13: 0.1641311041833907, 14: 0}"
30,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 0.9825865619753491, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.7934257394200208, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.0959280925599364, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.13111000452249197, 11: 0.13558534668016253, 12: 0, 13: 0.1641311041833907, 14: 0}"
31,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.7597173755193873, 11: 1, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10528284400487237, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.12229022080055359, 11: 0.13558534668016253, 12: 0, 13: 0.1641311041833907, 14: 0}"
32,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0.716542081971538, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10528284400487237, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0993316437550968, 11: 0.15606334653431156, 12: 0, 13: 0.1641311041833907, 14: 0}"
33,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0.716542081971538, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10528284400487237, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0993316437550968, 11: 0.15606334653431156, 12: 0, 13: 0.17029605568263328, 14: 0}"
34,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0.716542081971538, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10963674617014707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.0993316437550968, 11: 0.15606334653431156, 12: 0, 13: 0.17029605568263328, 14: 0}"
35,"{1: 0, 2: 0.98173269323605, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.716542081971538, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0.10186215817300658, 4: 0, 5: 0.10963674617014707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.15606334653431156, 12: 0, 13: 0.17029605568263328, 14: 0}"
36,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0.716542081971538, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10963674617014707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.09758808819913763, 11: 0.15606334653431156, 12: 0, 13: 0.17029605568263328, 14: 0}"
37,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1, 11: 0.716542081971538, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10963674617014707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0.09758808819913763, 11: 0.15606334653431156, 12: 0, 13: 0.17029605568263328, 14: 0}"
38,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0.6556021292969703, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10963674617014707, 6: 0, 7: 0, 8: 0, 9: 0.14762430056095663, 10: 0.09758808819913763, 11: 0, 12: 0, 13: 0.17029605568263328, 14: 0}"
39,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0.6224622454825124, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.10963674617014707, 6: 0, 7: 0, 8: 0, 9: 0.1568127996318538, 10: 0.09758808819913763, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
40,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0.6224622454825124, 10: 0.9764122036552528, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.1049416780547627, 6: 0, 7: 0, 8: 0, 9: 0.1568127996318538, 10: 0.10280935220787137, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
41,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0.9764122036552528, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13800127224608322, 10: 0.10280935220787137, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
