plan_id,black_scores,latino_scores
48,"{1: 0, 2: 0, 3: 0.7084789307990258, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.1870698847547832, 4: 0.11043994933994501, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0}"
49,"{1: 0, 2: 0, 3: 0.7084789307990258, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.1870698847547832, 4: 0.11043994933994501, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0}"
50,"{1: 0, 2: 0, 3: 0.7084789307990258, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.1870698847547832, 4: 0.11043994933994501, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0}"
51,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.4970485186783884, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.11043994933994501, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14052638284466354, 12: 0, 13: 0.17272182849003093, 14: 0}"
52,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.5266194966361399, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.10488108802672687, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14474258686642924, 12: 0, 13: 0.17272182849003093, 14: 0}"
53,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.5266194966361399, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.10488108802672687, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.14474258686642924, 12: 0, 13: 0.17272182849003093, 14: 0}"
54,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.4556226665480975, 14: 0.5341115519642718}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.10488108802672687, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.17272182849003093, 14: 0.13586192827376484}"
55,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.4556226665480975, 14: 0.5341115519642718}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.10488108802672687, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.17272182849003093, 14: 0.13586192827376484}"
56,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.4556226665480975, 14: 0.5341115519642718}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.10635248929012282, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.17272182849003093, 14: 0.13586192827376484}"
57,"{1: 0, 2: 0, 3: 0.9887607391200871, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.4556226665480975, 14: 0.5341115519642718}","{1: 0, 2: 0, 3: 0.1602469744452632, 4: 0.10635248929012282, 5: 0.12689772710046707, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.17272182849003093, 14: 0.13586192827376484}"
